word,count
attendrait,2062.89
attendrons,2062.16
attendras,2061.85
attendus,2061.43
attendirent,2061.17
attendront,2060.88
attendrais,2060.8
attendrez,2060.05
attendraient,2059.41
attendes,2059.11
attendues,2058.93
attendîmes,2058.79
attendît,2058.62
attendrions,2058.38
attendisse,2058.29
attendriez,2058.25
attendissent,2058.22
arrivent,2055.4
depuis,2053.18
grandes,2052.55
elles,2051.3
besoin,2047.66
arrivera,2039.39
arrivée,2038.84
arrivés,2034.05
arriva,2028.71
oeil,2023.27
arrives,2007.59
gens,2007.36
arrivant,2007.22
arrivais,2005.21
arrivaient,2001.09
arrête,1997.95
arriverait,1996.25
cet,1994.82
arriverai,1992.39
arrivèrent,1989.39
arrivez,1988.38
arrivons,1986.41
arriveras,1986.4
demandait,1982.81
arrivai,1982.71
arrivées,1982.61
arriveront,1982.25
arriverez,1981.98
arriverais,1981.15
arrivions,1981.04
arriverons,1980.49
comprends,1980.02
arrivâmes,1979.1
arrivât,1977.98
arriviez,1977.64
arriveraient,1977.26
arriveriez,1975.99
arriverions,1975.98
arrivas,1975.55
arrivâtes,1975.54
arrivassent,1975.53
restait,1968.32
demandais,1959.99
demandez,1958.2
seuls,1957.58
merci,1956.74
autres,1943.3
sortir,1942.62
monsieur,1934.19
demandes,1932.83
vies,1927
demandai,1926.32
demandant,1921.4
demandent,1921.24
restez,1913.67
demanderai,1909.74
demandons,1908.62
pourquoi,1906.78
demandaient,1906.03
demandera,1905.37
demandée,1903.74
resté,1902.88
demanderais,1901.33
demanderait,1901.12
demanderas,1898.24
demandèrent,1897.59
demandés,1897.47
demandiez,1897.11
demanderez,1896.93
demandions,1896.64
demanderont,1896.51
demandât,1895.99
demandées,1895.62
demanderons,1895.56
demanderiez,1895.24
demanderaient,1895.03
demandâmes,1894.3
appeler,1887.43
comme,1886.64
seules,1854.21
resta,1853.57
restes,1847.77
restée,1847.5
quel,1846.1
restent,1844.29
beau,1843.23
compris,1843.09
restera,1838.75
restaient,1832.38
restés,1829.16
entendu,1827.13
filles,1822.96
nom,1820.73
restons,1820.52
parti,1819.3
restais,1815.76
resterait,1814.73
resterai,1812.99
restai,1812.53
restèrent,1811.98
restant,1811.2
contre,1809.72
appelé,1805.72
resteras,1805.48
restées,1804.97
resterais,1804.52
resterez,1804.44
resteront,1803.55
restions,1803.14
restiez,1802.77
resterons,1802.46
restât,1801.56
resteraient,1800.81
restâmes,1800.42
belle,1799.66
resteriez,1798.54
resterions,1798
restassent,1797.61
regretter,1797.35
devant,1797.06
comprendre,1792.06
accord,1788.78
appelait,1782.85
personne,1779.52
an,1777.56
porte,1776.63
connaître,1769.06
un,1768.58
parce que,1751.9
connaît,1750.74
entendre,1748.19
ah,1747.38
connu,1745.15
connaissez,1744.91
appelez,1738.02
peur,1727.96
pars,1721.63
mort,1719.97
arrêter,1715.52
partie,1714.34
appelles,1706.61
connaissait,1700.99
sors,1693.43
part,1690.41
entends,1689.73
vite,1687.06
amour,1686.23
partez,1678.09
chercher,1674.82
partis,1673.6
mourir,1672.83
appellent,1670.72
tes,1670.48
appelée,1667.44
connaissais,1666.3
sorti,1660.88
mort,1658.81
vos,1658.68
appela,1656.75
partons,1656.14
assez,1655.78
appellerai,1655.11
sort,1652.75
pères,1650.72
appelaient,1650.36
oeils,1648.05
appelais,1645.46
appelons,1644.88
appellera,1642.61
appelés,1641.64
appelant,1640.38
appellerait,1637.33
arrêtez,1637.1
appellerais,1635.51
appelions,1634.9
appelai,1634.88
appelleras,1634.29
appeliez,1634.16
appelées,1633.8
tant,1633.52
appelleront,1632.88
appelèrent,1632.48
